"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"61st & Passyunk","stationary",3,"dodecane","0.04 (0.02)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"61st & Passyunk","stationary",3,"undecane","0.08 (0.03)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"61st & Passyunk","stationary",3,"cyclohexane_methyl","0.50 (0.40)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"61st & Passyunk","stationary",3,"x2_pentene_z_cis","0.03 (0.03)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"61st & Passyunk","stationary",3,"x1_3_butadiene_2_methyl","0.01 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"61st & Passyunk","stationary",3,"x1_hexene","0.08 (0.09)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"61st & Passyunk","stationary",3,"methyl_isobutyl_ketone","0.01 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"61st & Passyunk","stationary",3,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"61st & Passyunk","stationary",3,"benz12chloro","0.01 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"61st & Passyunk","stationary",3,"tce","0.02 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"61st & Passyunk","stationary",3,"trichlorofluoromethane","0.12 (0.12)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"61st & Passyunk","stationary",3,"trichloromethane","0.03 (0.01)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"61st & Passyunk","stationary",3,"carbon_tetrachloride","0.28 (0.14)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Passyunk","stationary",4,"benzene","0.47 (0.33)","Benzene",78.11,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"toluene","0.64 (0.61)","Toluene",92.14,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"etbenz","0.17 (0.25)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"xylenes","1.51 (2.29)","Xylenes",106.16,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"mpxylene","1.24 (1.96)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"oxylene","0.27 (0.41)","o-Xylene",106.16,"BTEX","BTEX",1,1
"28th & Passyunk","stationary",4,"benz1ethyl2methyl","0.06 (0.08)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"benz1ethyl3methyl","0.12 (0.21)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"benz1ethyl4methyl","0.06 (0.11)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"propylbenzene","0.07 (0.13)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"mesitylene","0.22 (0.34)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"benzene_1_2_3_trimethyl","0.07 (0.10)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"benzene_1_4_diethyl","0.06 (0.10)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Passyunk","stationary",4,"heptane3methyl","0.50 (0.88)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
