"site","total","sum","Alkenes","Alkylbenzenes","BTEX","Branched Alkanes","C10-C12 Alkanes","C6-C9 Alkanes","Chlorinated Compounds","Cyclohexanes","Ketones"
"Carl Moore Health Center",43.127,16.823999999999998,NA,NA,NA,39.01036473670786,NA,NA,NA,NA,NA
"Carl Moore Health Center",43.127,0.8800000000000001,NA,NA,NA,NA,2.0404850789528606,NA,NA,NA,NA
"Carl Moore Health Center",43.127,3.2239999999999998,NA,NA,NA,NA,NA,7.475595334709114,NA,NA,NA
"Carl Moore Health Center",43.127,2.386,NA,NA,NA,NA,NA,NA,5.532497043615368,NA,NA
"Carl Moore Health Center",43.127,1.77,NA,NA,NA,NA,NA,NA,NA,4.104157488348366,NA
"Carl Moore Health Center",43.127,0.017,NA,NA,NA,NA,NA,NA,NA,NA,0.039418461752498433
"Crescent Park",31.046000000000003,0.252,0.8116987695677381,NA,NA,NA,NA,NA,NA,NA,NA
"Crescent Park",31.046000000000003,0.9970000000000002,NA,3.2113637827739487,NA,NA,NA,NA,NA,NA,NA
"Crescent Park",31.046000000000003,10.991000000000003,NA,NA,35.40230625523418,NA,NA,NA,NA,NA,NA
"Crescent Park",31.046000000000003,11.548999999999998,NA,NA,NA,37.199639244991296,NA,NA,NA,NA,NA
"Crescent Park",31.046000000000003,0.621,NA,NA,NA,NA,2.000257682149069,NA,NA,NA,NA
"Crescent Park",31.046000000000003,3.053,NA,NA,NA,NA,NA,9.833795013850414,NA,NA,NA
"Crescent Park",31.046000000000003,2.417,NA,NA,NA,NA,NA,NA,7.785221928750885,NA,NA
"Crescent Park",31.046000000000003,1.093,NA,NA,NA,NA,NA,NA,NA,3.5205823616568956,NA
"Crescent Park",31.046000000000003,0.07300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,0.23513496102557496
"Essington & Mingo",327.21099999999996,4.165999999999999,1.2731845812029543,NA,NA,NA,NA,NA,NA,NA,NA
"Essington & Mingo",327.21099999999996,9.584999999999997,NA,2.9293024989991165,NA,NA,NA,NA,NA,NA,NA
"Essington & Mingo",327.21099999999996,120.48499999999994,NA,NA,36.821806112875166,NA,NA,NA,NA,NA,NA
"Essington & Mingo",327.21099999999996,128.99600000000007,NA,NA,NA,39.42288003765157,NA,NA,NA,NA,NA
"Essington & Mingo",327.21099999999996,6.1309999999999985,NA,NA,NA,NA,1.8737145144875933,NA,NA,NA,NA
"Essington & Mingo",327.21099999999996,26.062000000000015,NA,NA,NA,NA,NA,7.96489115585968,NA,NA,NA
"Essington & Mingo",327.21099999999996,20.865000000000013,NA,NA,NA,NA,NA,NA,6.37661936793079,NA,NA
"Essington & Mingo",327.21099999999996,10.504,NA,NA,NA,NA,NA,NA,NA,3.2101610275938155,NA
"Essington & Mingo",327.21099999999996,0.41700000000000026,NA,NA,NA,NA,NA,NA,NA,NA,0.1274407033993357
"Finnegan Playground",24.886999999999997,0.368,1.478683650098445,NA,NA,NA,NA,NA,NA,NA,NA
"Finnegan Playground",24.886999999999997,1.028,NA,4.130670631253265,NA,NA,NA,NA,NA,NA,NA
"Finnegan Playground",24.886999999999997,9.481,NA,NA,38.09619480049826,NA,NA,NA,NA,NA,NA
"Finnegan Playground",24.886999999999997,7.483999999999999,NA,NA,NA,30.071925101458593,NA,NA,NA,NA,NA
"Finnegan Playground",24.886999999999997,1.39,NA,NA,NA,NA,5.585245308795757,NA,NA,NA,NA
"Finnegan Playground",24.886999999999997,2.448,NA,NA,NA,NA,NA,9.836460802828787,NA,NA,NA
"Finnegan Playground",24.886999999999997,1.8970000000000002,NA,NA,NA,NA,NA,NA,7.622453489773779,NA,NA
"Finnegan Playground",24.886999999999997,0.7829999999999999,NA,NA,NA,NA,NA,NA,NA,3.1462209185518546,NA
"Finnegan Playground",24.886999999999997,0.008,NA,NA,NA,NA,NA,NA,NA,NA,0.03214529674127055
"Hartranft & Pietro Wy",30.099000000000004,0.29400000000000004,0.976776637097578,NA,NA,NA,NA,NA,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,1.0940000000000003,NA,3.6346722482474507,NA,NA,NA,NA,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,10.073,NA,NA,33.46622811389083,NA,NA,NA,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,10.818999999999999,NA,NA,NA,35.944715771288074,NA,NA,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,1.0260000000000002,NA,NA,NA,NA,3.4087511212997113,NA,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,2.815000000000001,NA,NA,NA,NA,NA,9.352470181733613,NA,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,1.6399999999999997,NA,NA,NA,NA,NA,NA,5.448686002857237,NA,NA
"Hartranft & Pietro Wy",30.099000000000004,2.323,NA,NA,NA,NA,NA,NA,NA,7.717864380876439,NA
"Hartranft & Pietro Wy",30.099000000000004,0.015000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,0.049835542709060106
"Morris & Point Breeze",366.8719999999999,3.903999999999999,1.0641313591661397,NA,NA,NA,NA,NA,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,13.784999999999995,NA,3.7574412874244967,NA,NA,NA,NA,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,138.71800000000002,NA,NA,37.81100765389565,NA,NA,NA,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,130.26399999999992,NA,NA,NA,35.50666172398002,NA,NA,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,14.320000000000002,NA,NA,NA,NA,3.9032687149741614,NA,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,28.371000000000002,NA,NA,NA,NA,NA,7.73321485422709,NA,NA,NA
"Morris & Point Breeze",366.8719999999999,21.66,NA,NA,NA,NA,NA,NA,5.903966506029352,NA,NA
"Morris & Point Breeze",366.8719999999999,15.453000000000001,NA,NA,NA,NA,NA,NA,NA,4.212095771822327,NA
"Morris & Point Breeze",366.8719999999999,0.39700000000000024,NA,NA,NA,NA,NA,NA,NA,NA,0.10821212848077813
"Snyder & Vare",36.217999999999996,0.378,1.0436799381523,NA,NA,NA,NA,NA,NA,NA,NA
"Snyder & Vare",36.217999999999996,1.4669999999999996,NA,4.050472140924401,NA,NA,NA,NA,NA,NA,NA
"Snyder & Vare",36.217999999999996,12.575,NA,NA,34.720304820807335,NA,NA,NA,NA,NA,NA
"Snyder & Vare",36.217999999999996,11.895,NA,NA,NA,32.84278535534817,NA,NA,NA,NA,NA
