variable_name,flag_type,count,percentage,n_perc,voc_name,mw,category_1,category_2,category_2no,sort_in_category
hexane2methyl,nd,0,0,0 (0%),2-Methylhexane,100.2,Alkanes,Other Alkanes,5,3
hexane2methyl,lod,13,2.9,13 (2.9%),2-Methylhexane,100.2,Alkanes,Other Alkanes,5,3
hexane2methyl,reg,432,95.8,432 (95.8%),2-Methylhexane,100.2,Alkanes,Other Alkanes,5,3
hexane2methyl,ulod,6,1.3,6 (1.3%),2-Methylhexane,100.2,Alkanes,Other Alkanes,5,3
hexane_3_methyl,nd,2,0.4,2 (0.4%),3-Methylhexane,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,lod,8,1.8,8 (1.8%),3-Methylhexane,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,reg,432,95.8,432 (95.8%),3-Methylhexane,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,ulod,9,2,9 (2%),3-Methylhexane,100.205,Alkanes,Other Alkanes,5,4
heptane3methyl,nd,0,0,0 (0%),3-Methylheptane,114.23,Alkanes,Other Alkanes,5,5
heptane3methyl,lod,73,16.2,73 (16.2%),3-Methylheptane,114.23,Alkanes,Other Alkanes,5,5
heptane3methyl,reg,374,82.9,374 (82.9%),3-Methylheptane,114.23,Alkanes,Other Alkanes,5,5
heptane3methyl,ulod,4,0.9,4 (0.9%),3-Methylheptane,114.23,Alkanes,Other Alkanes,5,5
pentane_3_methyl,nd,2,0.4,2 (0.4%),3-Methylpentane,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,lod,0,0,0 (0%),3-Methylpentane,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,reg,423,93.8,423 (93.8%),3-Methylpentane,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,ulod,26,5.8,26 (5.8%),3-Methylpentane,86.178,Alkanes,Other Alkanes,5,6
pentane_2_4_dimethyl,nd,7,1.6,7 (1.6%),"2,4-Dimethylpentane",100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,lod,63,14,63 (14%),"2,4-Dimethylpentane",100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,reg,376,83.4,376 (83.4%),"2,4-Dimethylpentane",100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,ulod,5,1.1,5 (1.1%),"2,4-Dimethylpentane",100.205,Alkanes,Other Alkanes,5,7
pentane_2_3_4_trimethyl,nd,11,2.4,11 (2.4%),"2,3,4-Trimethylpentane",114.232,Alkanes,Other Alkanes,5,8
pentane_2_3_4_trimethyl,lod,90,20,90 (20%),"2,3,4-Trimethylpentane",114.232,Alkanes,Other Alkanes,5,8
