"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"Essington & Mingo","stationary",2,"x2_pentene_z_cis","0.0 [0.0, 0.1]","cis-2-Pentene","x2_pentene_z_cis",70.1329,"Alkenes","Alkenes",6,2
"Essington & Mingo","stationary",2,"x1_3_butadiene_2_methyl","0.0 [0.0, 0.1]","Isoprene","x1_3_butadiene_2_methyl",68.12,"Alkenes","Alkenes",6,3
"Essington & Mingo","stationary",2,"x2_hexanone","0.0 [0.0, 0.0]","2-Hexanone","x2_hexanone",100.161,"Ketones","Ketones",7,1
"Essington & Mingo","stationary",2,"methyl_isobutyl_ketone","0.0 [0.0, 0.1]","Methyl isobutyl ketone","methyl_isobutyl_ketone",100.16,"Ketones","Ketones",7,2
"Essington & Mingo","stationary",2,"trichloromethane","0.1 [0.1, 0.2]","Chloroform","trichloromethane",119.37,"Chlorinated Compounds","Chlorinated Compounds",8,1
"Essington & Mingo","stationary",2,"carbon_tetrachloride","1.8 [1.3, 2.2]","Carbon tetrachloride","carbon_tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",8,2
"Essington & Mingo","stationary",2,"tetrachloroethylene","0.1 [0.1, 0.2]","Tetrachloroethylene","tce",165.83,"Chlorinated Compounds","Chlorinated Compounds",8,3
"Essington & Mingo","stationary",2,"trichloromonofluoromethane","0.6 [0.3, 1.0]","Trichlorofluoromethane","trichlorofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",8,4
"Essington & Mingo","stationary",2,"benzene_1_2_dichloro","0.1 [0.1, 0.1]","1,2-dichlorobenzene","benz12chloro",147.01,"Benzene Derivatives","Chlorinated Compounds",8,5
"61st & Passyunk","stationary",3,"benzene","1.4 [0.9, 1.9]","Benzene","benzene",78.11,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"toluene","3.0 [2.1, 4.9]","Toluene","toluene",92.14,"BTEX","BTEX",1,2
