variable_name,flag_type,count,percentage,n_perc,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
pentane_3_methyl,nd,0,0,0 (0%),3-Methylpentane,pentane_3_methyl,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,lod,0,0,0 (0%),3-Methylpentane,pentane_3_methyl,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,reg,428,94.3,428 (94.3%),3-Methylpentane,pentane_3_methyl,86.178,Alkanes,Other Alkanes,5,6
pentane_3_methyl,ulod,26,5.7,26 (5.7%),3-Methylpentane,pentane_3_methyl,86.178,Alkanes,Other Alkanes,5,6
pentane_2_4_dimethyl,nd,5,1.1,5 (1.1%),"2,4-Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,lod,63,13.9,63 (13.9%),"2,4-Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,reg,381,83.9,381 (83.9%),"2,4-Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_4_dimethyl,ulod,5,1.1,5 (1.1%),"2,4-Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_3_4_trimethyl,nd,9,2,9 (2%),"2,3,4-Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
pentane_2_3_4_trimethyl,lod,91,20,91 (20%),"2,3,4-Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
pentane_2_3_4_trimethyl,reg,351,77.3,351 (77.3%),"2,3,4-Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
pentane_2_3_4_trimethyl,ulod,3,0.7,3 (0.7%),"2,3,4-Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl,nd,0,0,0 (0%),Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,lod,6,1.3,6 (1.3%),Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,reg,421,92.7,421 (92.7%),Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,ulod,27,5.9,27 (5.9%),Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene,nd,53,11.7,53 (11.7%),1-Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,lod,15,3.3,15 (3.3%),1-Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,reg,386,85,386 (85%),1-Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,ulod,0,0,0 (0%),1-Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis,nd,85,18.7,85 (18.7%),cis-2-Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,lod,144,31.7,144 (31.7%),cis-2-Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,reg,225,49.6,225 (49.6%),cis-2-Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,ulod,0,0,0 (0%),cis-2-Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl,nd,216,47.6,216 (47.6%),Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
