Box number,Tube number,Blanked prior,Date blanked,Date shipped to PA,Date received in ID,Days in RETURN transit,Time collected (DAYS),Purged,RUN/SPLIT TYPE,Qedited by,added to database,Q-Edit Method,MULTIPLIER,"FILE NAME (TUBE # + TODAY DATE + END DATE + LOCATION + (FB,LAB BLANK,DUP,etc)",LOCATION NUMBER,LOCATION,LOCATION LAT/LONG,Sample Type,START DATE,START TIME,User set up,END DATE,END TIME,User take down,COMMENTS,Date return shipped to ID,Tracking #,MONTH,USE SAMPLE
47,P733850,Y,24-Jan,2/9/2024,3/16/2024,1,0,Y,no split,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,1,P733850 031624 031324 61st and Passyunk Rename,3,61st and Passyunk,"39.91820446, -75.2085474",Sample,3/6/2024,10:41:00 AM,KDM,3/13/2024,9:22:00 AM,KDM,,3/13/2024,,,
47,P733851,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733851 031624 031324 28th and Passyunk SS,4,28th and Passyunk,"39.92061091, -75.1955879",Sample,3/6/2024,10:46:00 AM,KDM,3/13/2024,9:25:00 AM,KDM,,3/13/2024,,,
47,P733886,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733886 031624 031324 Point Breeze Near SS,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,3/6/2024,10:53:00 AM,ST,3/13/2024,9:38:00 AM,KDM,,3/13/2024,,,
47,P733887,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733887 031624 031324 Point Breeze Mid SS,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,3/6/2024,11:01:00 AM,KDM,3/13/2024,9:34:00 AM,KDM,,3/13/2024,,,
47,P733888,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733888 031624 031324 Point Breeze Far SS,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,3/6/2024,11:07:00 AM,ST,3/13/2024,9:45:00 AM,KDM,,3/13/2024,,,
47,P733889,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733889 031624 031324 Ritner SS,8,Ritner,"39.92296389, -75.186874",Sample,3/6/2024,11:15:00 AM,ST,3/13/2024,9:30:00 AM,KDM,,3/13/2024,,,
47,P733890,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733890 031624 031324 Ritner DUP SS,8,Ritner DUP,"39.92296389, -75.186874",Duplicate,3/6/2024,11:15:00 AM,ST,3/13/2024,9:30:00 AM,KDM,,3/13/2024,,,
47,P733891,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733891 031624 031324 26th St SS,9,26th St,"39.91327125, -75.1922011",Sample,3/6/2024,11:23:00 AM,KDM,3/13/2024,9:56:00 AM,LF,,3/13/2024,,,
48,P726641,Y,24-Jan,2/9/2024,3/16/2024,1,0,Y,no split,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,1,P726641 031624 031324 26th St FB ,9,26th St FB,"39.91327125, -75.1922011",Field Blank,3/6/2024,11:25:00 AM,ST,3/6/2024,11:25:00 AM,ST,,3/13/2024,,,
48,P726642,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726642 040224 032024 Bartrams SS RR,1,Bartrams,"39.92896, -75.212541",Sample,3/13/2024,9:03:00 AM,KDM,3/20/2024,1:59:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726643,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726643 040324 032024 Essington SS RR,2,Essington,"39.90131732, -75.2250262",Sample,3/13/2024,9:16:00 AM,KDM,3/20/2024,2:15:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726644,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726644 040224 032024 61st & Passyunk SS,3,61st & Passyunk,"39.91820446, -75.2085474",Sample,3/13/2024,9:22:00 AM,KDM,3/20/2024,2:23:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726647,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726647 040224 032024 28th & Passyunk SS,4,28th & Passyunk,"39.92061091, -75.1955879",Sample,3/13/2024,9:25:00 AM,KDM,3/20/2024,2:30:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726657,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726657 040224 032024 Ritner SS,8,Ritner,"39.92296389, -75.186874",Sample,3/13/2024,9:30:00 AM,KDM,3/20/2024,3:08:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726661,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,GT (FRONT),DREXEL MAIN DATABASE 23-24 FRONT,MMT032824,2,P726661 040224 032024 Point Breeze Mid SS,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,3/13/2024,9:34:00 AM,KDM,3/20/2024,2:55:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726664,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,2,P726664 040224 032024 Point Breeze Near SS,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,3/13/2024,9:38:00 AM,KDM,3/20/2024,2:59:00 PM,ST,,1-Apr,7.75476E+11,,
48,P726665,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,2,P726665 040224 032024 Point Breeze Far SS,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,3/13/2024,9:45:00 AM,KDM,3/20/2024,2:46:00 PM,ST,,1-Apr,7.75476E+11,,
48,P733892,Y,24-Jan,2/9/2024,4/2/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,2,P733892 040224 032024 Point Breeze Far DUP SS,7,Point Breeze Far DUP,"39.93094655, -75.1829941",Duplicate,3/13/2024,9:45:00 AM,KDM,3/20/2024,2:46:00 PM,ST,,1-Apr,7.75476E+11,,
49,P726604,Y,24-Feb,3/10/2024,4/2/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,2,P726604 040224 032024 26th St SS,9,26th St,"39.91327125, -75.1922011",Sample,3/13/2024,9:56:00 AM,KDM,3/20/2024,3:26:00 PM,ST,,1-Apr,7.75476E+11,,
49,P726605,Y,24-Feb,3/10/2024,3/16/2024,1,0,Y,no split,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,1,P726605 031624 031324 26th St FB ,9,26th St FB,"39.91327125, -75.1922011",Field Blank,3/13/2024,9:56:00 AM,LF,3/13/2024,9:57:00 AM,LF,,3/13/2024,,,
49,P726608,Y,24-Feb,3/10/2024,3/16/2024,1,0,Y,no split,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT031524,1,P726608 031624 031324 Lab blank ,,Lab blank,NA,Lab Blank,3/12/2024,,LF,3/13/2024,,LF,,3/13/2024,,,
49,P726611,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,KC (mAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726611 041124 040324 Bartrams DS RENAME,1,Bartrams,"39.92896, -75.212541",Sample,3/20/2024,1:59:00 PM,ST,4/3/2024,11:22:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726612,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726612 041124 040324 Essington DS RENAME,2,Essington,"39.90131732, -75.2250262",Sample,3/20/2024,2:15:00 PM,ST,4/3/2024,11:33:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726613,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726613 041124 040324 61st & Passyunk DS RENAME,3,61st & Passyunk,"39.91820446, -75.2085474",Sample,3/20/2024,2:23:00 PM,ST,4/3/2024,11:38:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726614,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726614 041124 040324 28th & Passyunk DS RENAME,4,28th & Passyunk,"39.92061091, -75.1955879",Sample,3/20/2024,2:30:00 PM,ST,4/3/2024,11:40:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726619,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726619 041124 040324 Point Breeze Far DS RENAME,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,3/20/2024,2:46:00 PM,ST,4/3/2024,11:55:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726645,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726645 041124 040324 Point Breeze Mid DS RENAME,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,3/20/2024,2:55:00 PM,ST,4/3/2024,11:47:00 AM,ST,,4/10/2024,Sent with Nancy,,
49,P726646,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P726646 041124 040324 Point Breeze Mid Dup DS RENAME,6,Point Breeze Mid Dup,"39.92771763, -75.1873965",Duplicate,3/20/2024,2:55:00 PM,ST,4/3/2024,11:47:00 AM,ST,,4/10/2024,Sent with Nancy,,
50,P733841,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P733841 041124 040324 Point Breeze Near DS RENAME,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,3/20/2024,2:59:00 PM,ST,4/3/2024,11:50:00 AM,ST,,4/10/2024,Sent with Nancy,,
50,P733843,Y,24-Feb,3/10/2024,4/2/2024,1,0,Y,NO SPLIT,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,1,P733843 040224 032024 Point Breeze Near FB,5,Point Breeze Near FB,"39.92624784, -75.1923165",Field Blank,3/20/2024,3:00:00 PM,ST,3/20/2024,3:00:00 PM,ST,,1-Apr,7.75476E+11,,
50,P733845,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,DS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,68.667,P733845 041124 040324 Ritner DS RENAME,8,Ritner,"39.92296389, -75.186874",Sample,3/20/2024,3:08:00 PM,ST,4/3/2024,11:45:00 AM,ST,,4/10/2024,Sent with Nancy,,
50,P733847,Y,24-Feb,3/10/2024,4/11/2024,1,14,Y,SS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733847 041224 040324 26th St SS RR,9,26th St,"39.91327125, -75.1922011",Sample,3/20/2024,3:26:00 PM,ST,4/3/2024,12:03:00 PM,ST,,4/10/2024,Sent with Nancy,,
50,P733854,Y,24-Feb,3/10/2024,4/2/2024,1,0,Y,NO SPLIT,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT032824,1,P733854 040224 040124 LAB BLANK RR,,LAB BLANK,NA,Lab Blank,3/12/2024,,ST,4/1/2024,,LF,,1-Apr,7.75476E+11,,
50,P733856,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,GT (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733856 041224 041024 Bartrams SS,1,Bartrams,"39.92896, -75.212541",Sample,4/3/2024,11:22:00 AM,ST,4/10/2024,10:30:00 AM,,,4/10/2024,Sent with Nancy,,
50,P733857,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733857 041224 041024 Essington SS,2,Essington,"39.90131732, -75.2250262",Sample,4/3/2024,11:33:00 AM,ST,4/10/2024,10:47:00 AM,,,4/10/2024,Sent with Nancy,,
50,P733859,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733859 041224 041024 61st & Passyunk SS,3,61st & Passyunk,"39.91820446, -75.2085474",Sample,4/3/2024,11:38:00 AM,ST,4/10/2024,10:59:00 AM,,,4/10/2024,Sent with Nancy,,
50,P733860,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733860 041224 041024 28th & Passyunk SS,4,28th & Passyunk,"39.92061091, -75.1955879",Sample,4/3/2024,11:40:00 AM,ST,4/10/2024,11:08:00 AM,,,4/10/2024,Sent with Nancy,,
50,P733864,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733864 041224 041024 Ritner SS,8,Ritner,"39.92296389, -75.186874",Sample,4/3/2024,11:45:00 AM,ST,4/10/2024,11:19:00 AM,,,4/10/2024,Sent with Nancy,,
51,P733865,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733865 041224 041024 Point Breeze Mid SS,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,4/3/2024,11:47:00 AM,ST,4/10/2024,11:28:00 AM,,,4/10/2024,Sent with Nancy,,
51,P733866,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733866 041224 041024 Point Breeze Near SS,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,4/3/2024,11:50:00 AM,ST,4/10/2024,11:38:00 AM,,,4/10/2024,Sent with Nancy,,
51,P733869,Y,24-Feb,3/10/2024,4/11/2024,1,7,Y,SS,KC (Main),DREXEL MAIN DATABASE 23-24 ,MMT 041024,2,P733869 041224 041024 Point Breeze Far SS,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,4/3/2024,11:55:00 AM,ST,4/10/2024,11:51:00 AM,,,4/10/2024,Sent with Nancy,,
